Munic�pio de resid�ncia;<1 Ano;1-4;5-9;10-14;15-19;20-39;40-59;60-64;65-69;70-79;80 e +;Total
250020 AGUIAR;1;-;-;-;-;1;-;-;-;-;-;2
250030 ALAGOA GRANDE;5;24;40;40;30;137;106;18;5;20;4;429
250040 ALAGOA NOVA;2;7;9;15;11;67;34;10;3;7;1;166
250050 ALAGOINHA;-;2;3;-;1;2;1;-;1;-;-;10
250053 ALCANTIL;-;-;-;-;-;1;-;-;-;-;-;1
250057 ALGODAO DE JANDAIRA;2;3;4;3;6;28;12;-;1;1;-;60
250060 ALHANDRA;-;-;-;1;1;1;-;-;-;1;-;4
250073 AMPARO;-;-;-;-;1;-;-;-;-;-;-;1
250080 ARACAGI;1;-;1;2;-;3;3;-;-;-;-;10
250090 ARARA;3;1;1;1;2;6;6;-;1;-;-;21
250100 ARARUNA;-;1;-;-;1;1;-;-;-;-;-;3
250110 AREIA;2;3;11;12;15;87;65;13;7;2;-;217
250120 AREIAL;-;-;-;-;-;-;-;-;1;-;-;1
250130 AROEIRAS;1;2;4;3;4;12;7;-;-;-;1;34
250135 ASSUNCAO;2;1;1;-;1;6;3;-;-;1;-;15
250140 BAIA DA TRAICAO;-;-;1;-;-;-;-;-;-;-;-;1
250150 BANANEIRAS;1;-;3;-;-;-;-;-;1;-;-;5
250153 BARAUNA;3;1;-;3;8;10;13;-;1;-;-;39
250157 BARRA DE SANTANA;1;-;-;-;2;6;1;-;-;-;-;10
250160 BARRA DE SANTA ROSA;-;1;-;-;-;2;3;-;-;-;-;6
250170 BARRA DE SAO MIGUEL;-;-;1;1;-;2;-;-;-;-;-;4
250180 BAYEUX;2;-;2;-;1;7;8;-;-;1;-;21
250200 BELEM DO BREJO DO CRUZ;-;-;-;-;-;1;-;-;-;-;-;1
250210 BOA VENTURA;-;-;-;-;1;-;1;-;-;-;-;2
250215 BOA VISTA;-;-;-;-;1;1;3;-;1;1;-;7
250240 BONITO DE SANTA FE;-;-;2;1;-;-;-;-;-;-;-;3
250250 BOQUEIRAO;-;2;-;3;1;7;2;1;-;-;-;16
250260 IGARACY;-;1;-;-;-;-;1;-;-;-;-;2
250270 BORBOREMA;-;-;-;-;-;-;1;-;-;1;-;2
250280 BREJO DO CRUZ;-;-;1;1;-;3;-;-;-;-;-;5
250290 BREJO DOS SANTOS;-;-;-;-;1;3;2;-;-;1;-;7
250300 CAAPORA;-;-;1;-;-;1;-;1;-;-;-;3
250310 CABACEIRAS;1;2;-;-;-;5;7;1;-;-;-;16
250320 CABEDELO;10;7;23;13;15;84;115;13;11;9;2;302
250330 CACHOEIRA DOS INDIOS;1;1;1;-;1;8;4;1;-;-;-;17
250350 CACIMBA DE DENTRO;-;-;1;-;2;-;2;-;-;-;-;5
250360 CAICARA;-;-;-;-;-;2;-;-;-;-;-;2
250370 CAJAZEIRAS;-;1;-;1;-;6;2;-;-;-;-;10
250380 CALDAS BRANDAO;2;-;-;-;-;-;-;-;-;-;-;2
250390 CAMALAU;-;-;1;-;1;1;-;-;-;-;-;3
250400 CAMPINA GRANDE;21;18;41;55;170;1124;608;70;51;57;22;2237
250403 CAPIM;-;-;1;1;-;-;-;-;-;-;-;2
250407 CARAUBAS;-;-;-;-;-;1;-;-;-;-;-;1
250415 CASSERENGUE;1;-;1;3;3;6;2;-;-;-;-;16
250430 CATOLE DO ROCHA;-;-;7;2;1;15;9;-;2;1;-;37
250435 CATURITE;1;3;4;3;1;13;6;1;-;1;-;33
250460 CONDE;1;-;1;4;-;10;3;2;-;-;-;21
250480 COREMAS;-;-;2;-;-;3;-;4;-;1;-;10
250485 COXIXOLA;-;-;-;-;-;-;1;-;-;-;-;1
250490 CRUZ DO ESPIRITO SANTO;-;1;1;-;2;2;1;1;-;-;-;8
250500 CUBATI;4;2;6;12;11;57;43;7;9;7;6;164
250510 CUITE;4;6;5;3;1;13;8;4;-;1;1;46
250520 CUITEGI;-;-;-;1;-;-;-;-;-;-;-;1
250523 CUITE DE MAMANGUAPE;1;-;-;-;-;-;1;-;-;-;-;2
250527 CURRAL DE CIMA;-;-;-;-;3;10;4;-;-;1;-;18
250535 DAMIAO;-;-;-;-;1;-;-;-;-;-;-;1
250540 DESTERRO;-;-;-;-;-;-;-;-;-;1;-;1
250550 VISTA SERRANA;-;-;1;-;1;3;1;-;-;2;-;8
250570 DONA INES;-;1;-;1;1;3;-;-;-;-;-;6
250580 DUAS ESTRADAS;-;-;-;-;-;1;-;-;-;-;-;1
250600 ESPERANCA;4;-;5;6;7;20;12;3;3;3;-;63
250610 FAGUNDES;-;1;1;-;1;3;1;-;-;-;-;7
250620 FREI MARTINHO;-;-;-;1;1;2;-;-;-;-;-;4
250625 GADO BRAVO;-;-;-;-;-;1;2;-;-;-;-;3
250630 GUARABIRA;-;5;7;4;2;17;4;-;2;-;-;41
250640 GURINHEM;-;-;1;-;1;-;-;-;-;-;-;2
250650 GURJAO;-;5;3;2;3;8;7;3;1;-;-;32
250660 IBIARA;-;-;-;2;-;2;1;-;-;-;-;5
250680 INGA;1;3;3;1;-;4;2;1;-;-;-;15
250690 ITABAIANA;-;2;-;-;1;3;-;-;-;-;-;6
250700 ITAPORANGA;-;1;-;-;-;-;-;-;-;-;-;1
250710 ITAPOROROCA;-;-;2;6;-;12;3;3;3;2;1;32
250720 ITATUBA;-;-;-;-;-;-;-;-;1;-;-;1
250730 JACARAU;-;-;1;-;-;3;-;-;-;-;-;4
250740 JERICO;-;-;-;-;-;2;1;-;-;-;-;3
250750 JOAO PESSOA;56;50;45;61;81;357;230;33;32;26;9;980
250760 JUAREZ TAVORA;-;-;2;-;1;1;-;-;-;-;-;4
250770 JUAZEIRINHO;1;3;-;3;5;2;2;-;-;1;-;17
250780 JUNCO DO SERIDO;1;-;-;-;-;-;-;1;-;-;-;2
250790 JURIPIRANGA;-;1;-;-;-;-;-;-;-;-;-;1
250800 JURU;-;-;-;-;2;2;1;-;-;-;-;5
250820 LAGOA DE DENTRO;-;-;-;1;1;1;-;-;-;-;-;3
250830 LAGOA SECA;-;-;1;1;1;4;2;-;-;-;1;10
250850 LIVRAMENTO;-;-;-;-;-;3;2;-;1;-;-;6
250855 LOGRADOURO;-;1;-;-;-;-;-;-;-;-;-;1
250860 LUCENA;-;-;-;-;-;1;-;-;-;-;-;1
250880 MALTA;-;-;-;-;-;1;-;-;-;-;-;1
250890 MAMANGUAPE;1;1;1;3;3;12;22;1;1;2;1;48
250905 MARCACAO;-;-;1;-;-;-;-;-;-;-;1;2
250910 MARI;-;-;-;-;-;-;1;-;-;-;-;1
250920 MASSARANDUBA;-;-;1;1;-;3;2;-;-;-;-;7
250930 MATARACA;-;-;-;-;-;1;-;-;-;-;-;1
250933 MATINHAS;-;-;-;-;-;-;1;-;-;-;-;1
250940 MOGEIRO;1;-;1;-;-;-;2;-;-;-;-;4
250950 MONTADAS;-;-;-;-;-;2;1;-;-;-;-;3
250960 MONTE HOREBE;-;-;-;1;-;-;-;-;-;-;-;1
250970 MONTEIRO;3;2;3;2;1;14;13;1;-;1;-;40
250980 MULUNGU;1;-;-;-;-;-;-;-;-;-;-;1
250990 NATUBA;1;19;22;13;15;59;35;8;6;7;1;186
251010 NOVA FLORESTA;3;4;4;1;8;35;22;6;4;7;3;97
251020 NOVA OLINDA;-;-;1;-;-;-;1;-;-;-;-;2
251030 NOVA PALMEIRA;-;-;-;1;-;2;1;-;-;1;-;5
251050 OLIVEDOS;1;2;4;4;5;10;11;1;-;-;-;38
251065 PARARI;-;-;-;-;-;-;-;-;-;1;-;1
251080 PATOS;1;-;3;2;2;7;5;-;-;-;-;20
251110 PEDRA LAVRADA;-;-;-;-;-;2;-;1;-;-;-;3
251120 PEDRAS DE FOGO;-;-;-;1;-;-;-;-;-;-;-;1
251130 PIANCO;-;1;1;-;1;1;-;-;-;-;1;5
251140 PICUI;1;3;4;-;1;6;6;-;1;-;-;23
251150 PILAR;1;11;8;12;8;34;28;5;3;6;1;117
251160 PILOES;-;1;-;-;1;1;-;-;-;-;-;3
251170 PILOEZINHOS;1;1;-;-;-;-;-;-;-;-;-;2
251180 PIRPIRITUBA;1;1;-;-;-;2;-;-;-;-;-;4
251190 PITIMBU;-;1;-;-;-;3;-;-;-;-;-;4
251200 POCINHOS;1;-;-;-;-;3;-;-;1;-;-;5
251210 POMBAL;-;-;-;-;-;-;-;1;-;1;-;2
251220 PRATA;-;1;-;1;1;1;2;2;-;-;-;8
251240 PUXINANA;1;-;-;1;4;9;3;-;-;1;-;19
251250 QUEIMADAS;15;42;89;89;97;499;304;33;25;37;13;1243
251260 QUIXABA;-;1;-;-;-;3;-;-;-;-;-;4
251270 REMIGIO;-;3;3;4;2;20;30;2;2;2;2;70
251272 PEDRO REGIS;-;-;-;-;-;1;1;-;-;-;-;2
251275 RIACHAO DO BACAMARTE;-;1;-;-;-;1;1;-;-;-;-;3
251276 RIACHAO DO POCO;1;-;-;-;-;-;-;-;-;-;-;1
251278 RIACHO DE SANTO ANTONIO;2;-;-;-;2;-;-;-;-;-;-;4
251290 RIO TINTO;1;-;1;-;-;1;1;-;-;-;-;4
251310 SALGADO DE SAO FELIX;-;1;-;-;-;-;-;-;-;-;-;1
251315 SANTA CECILIA;-;2;-;-;1;1;-;-;-;-;-;4
251340 SANTA LUZIA;-;-;1;-;-;2;-;-;1;-;1;5
251370 SANTA RITA;3;10;4;6;5;12;14;1;2;2;-;59
251385 SANTO ANDRE;-;-;-;-;-;1;1;-;-;-;-;2
251390 SAO BENTO;1;-;-;1;-;2;1;-;-;1;-;6
251400 SAO JOAO DO CARIRI;-;1;-;2;-;4;4;-;-;-;1;12
251410 SAO JOAO DO TIGRE;-;-;2;-;-;-;-;-;-;-;-;2
251420 SAO JOSE DA LAGOA TAPADA;-;-;1;-;-;-;-;-;-;-;-;1
251445 SAO JOSE DOS RAMOS;-;-;-;-;1;1;1;-;-;-;-;3
251450 SAO JOSE DE PIRANHAS;2;-;-;1;-;-;-;-;-;-;-;3
251460 SAO JOSE DO BONFIM;-;-;-;-;-;1;-;-;-;-;-;1
251465 SAO JOSE DO BREJO DO CRUZ;1;-;-;-;-;-;-;-;-;-;-;1
251490 SAO MAMEDE;-;-;-;-;-;-;-;-;-;1;-;1
251500 SAO MIGUEL DE TAIPU;-;-;-;-;1;1;-;-;-;-;-;2
251510 SAO SEBASTIAO DE LAGOA DE ROCA;5;2;3;2;2;13;4;-;3;-;-;34
251520 SAO SEBASTIAO DO UMBUZEIRO;-;-;2;-;-;1;-;-;-;-;-;3
251530 SAPE;-;-;1;-;2;1;1;-;-;1;-;6
251540 SAO VICENTE DO SERIDO;-;1;-;-;1;2;-;-;-;-;-;4
251550 SERRA BRANCA;-;1;-;-;1;3;1;-;-;1;-;7
251560 SERRA DA RAIZ;-;-;-;1;-;1;-;-;-;-;-;2
251580 SERRA REDONDA;-;-;-;1;-;-;-;-;-;-;-;1
251590 SERRARIA;-;-;-;-;-;-;1;-;-;-;-;1
251593 SERTAOZINHO;2;-;-;1;-;2;1;-;-;-;-;6
251600 SOLANEA;-;2;-;-;-;1;1;-;-;1;-;5
251610 SOLEDADE;-;1;1;-;1;6;9;-;1;-;-;19
251615 SOSSEGO;-;-;-;-;1;-;1;-;1;-;-;3
251620 SOUSA;1;2;3;2;2;3;4;-;2;1;-;20
251630 SUME;-;1;-;1;-;2;2;1;-;-;-;7
251650 TAPEROA;-;-;-;-;-;2;1;-;-;-;-;3
251670 TEIXEIRA;1;-;-;-;-;1;1;-;-;-;-;3
251675 TENORIO;-;1;2;-;-;5;2;-;-;-;-;10
251700 UMBUZEIRO;8;10;16;20;17;46;22;2;1;4;1;147
251710 VARZEA;1;-;-;1;-;6;2;2;-;1;-;13
251720 VIEIROPOLIS;-;-;-;-;-;1;-;-;-;-;-;1
Total;198;293;435;448;595;3064;1926;258;192;228;74;7712
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
 ;;;;;;;;;;;;
